City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,-5.199999999999989,73,100,4.63,US,Jamestown
1,mar del plata,-38.0023,-57.5575,19.910000000000025,59,0,6.69,AR,Mar del Plata
2,nar'yan-mar,67.6713,53.087,-7.519999999999982,94,100,5.61,RU,Naryan-Mar
3,hilo,19.7297,-155.09,25.610000000000014,78,33,0.45,US,Hilo
4,recreio,-21.525,-42.4692,24.700000000000045,81,63,1.3,BR,Recreio
5,shingu,33.7333,135.9833,3.1299999999999955,47,10,5.7,JP,Shingū
6,nuuk,64.1835,-51.7216,-12.659999999999968,61,71,7.72,GL,Nuuk
7,edinburgh of the seven seas,-37.0676,-12.3116,16.08000000000004,74,11,6.25,SH,Edinburgh of the Seven Seas
8,atafu village,-8.5421,-172.5159,28.670000000000016,67,49,6.42,TK,Atafu Village
9,dhidhdhoo,6.8833,73.1,27.24000000000001,73,4,2.4,MV,Dhidhdhoo
10,bredasdorp,-34.5322,20.0403,18.730000000000018,77,18,2.81,ZA,Bredasdorp
11,ushuaia,-54.8,-68.3,10.810000000000002,66,75,7.72,AR,Ushuaia
12,utrik,11.2278,169.8474,26.610000000000014,80,98,9.59,MH,Utrik
13,usinsk,65.9939,57.5281,-9.159999999999968,91,100,7.61,RU,Usinsk
14,ilulissat,69.2167,-51.1,-18.98999999999998,65,100,4.12,GL,Ilulissat
15,anadyr,64.75,177.4833,-29.71999999999997,67,2,10.0,RU,Anadyr
16,along,28.1667,94.7667,9.860000000000014,75,64,0.46,IN,Along
17,kone,-21.0595,164.8658,25.180000000000007,94,100,2.01,NC,Koné
18,douentza,14.9951,-2.9517,20.700000000000045,12,100,2.29,ML,Douentza
19,waitangi,-43.9535,-176.5597,15.460000000000036,75,79,4.02,NZ,Waitangi
20,zinder,13.8072,8.9881,19.77000000000004,9,0,4.49,NE,Zinder
21,ust'-ordynskiy,52.805,104.7508,-16.579999999999984,85,99,8.1,RU,Ust'-Ordynskiy
22,olonkinbyen,70.9221,-8.7187,-1.7199999999999704,80,49,9.26,SJ,Olonkinbyen
23,vorgashor,67.5833,63.95,-16.579999999999984,93,91,3.19,RU,Vorgashor
24,whitehorse,60.7161,-135.0538,-15.569999999999993,84,75,2.06,CA,Whitehorse
25,karamay,45.6004,84.8661,-14.70999999999998,94,15,0.08,CN,Karamay
26,codrington,-38.2667,141.9667,18.260000000000048,50,15,8.21,AU,Codrington
27,fortuna,40.5982,-124.1573,4.080000000000041,96,100,0.45,US,Fortuna
28,vilyuchinsk,52.9306,158.4028,-3.849999999999966,83,95,2.3,RU,Vilyuchinsk
29,blackmans bay,-43.0167,147.3167,18.07000000000005,49,13,2.61,AU,Blackmans Bay
30,crane,31.3974,-102.3501,24.160000000000025,45,20,8.54,US,Crane
31,amga,60.8953,131.9608,-42.79999999999998,100,81,0.7,RU,Amga
32,grytviken,-54.2811,-36.5092,3.5200000000000387,84,44,9.41,GS,Grytviken
33,port-aux-francais,-49.35,70.2167,5.9500000000000455,99,100,7.81,TF,Port-aux-Français
34,port mathurin,-19.6833,63.4167,26.99000000000001,80,3,3.61,MU,Port Mathurin
35,tazovsky,67.4667,78.7,-28.059999999999974,100,100,2.27,RU,Tazovsky
36,adamstown,-25.066,-130.1015,25.03000000000003,78,8,5.23,PN,Adamstown
37,puerto natales,-51.7236,-72.4875,7.310000000000002,88,97,2.15,CL,Puerto Natales
38,hawaiian paradise park,19.5933,-154.9731,25.730000000000018,68,0,4.63,US,Hawaiian Paradise Park
39,ewing,40.2698,-74.7999,3.8100000000000023,46,0,5.66,US,Ewing
40,thompson,55.7435,-97.8558,-19.909999999999968,71,20,7.2,CA,Thompson
41,binzhou,37.3667,118.0167,-7.71999999999997,31,32,3.0,CN,Binzhou
42,sabang,5.8933,95.3214,27.680000000000007,76,100,9.54,ID,Sabang
43,kodiak,57.79,-152.4072,2.730000000000018,70,0,2.06,US,Saint Paul Harbor
44,tamanrasset,22.785,5.5228,13.950000000000045,17,0,1.54,DZ,Tamanghasset
45,wailua homesteads,22.0669,-159.378,23.439999999999998,54,0,8.23,US,Wailua Homesteads
46,badger,64.8,-147.5333,-10.899999999999977,87,100,0.0,US,Badger
47,albany,42.6001,-73.9662,-2.9799999999999613,74,72,5.23,US,Albany
48,new shagunnu,10.3396,4.4688,26.99000000000001,27,13,3.15,NG,New Shagunnu
49,puerto deseado,-47.7503,-65.8938,14.480000000000018,56,29,9.54,AR,Puerto Deseado
50,poxoreo,-15.8372,-54.3892,22.110000000000014,95,89,2.08,BR,Poxoréo
51,papatowai,-46.5619,169.4708,18.960000000000036,51,72,2.8,NZ,Papatowai
52,iskateley,67.6803,53.1512,-7.4599999999999795,94,100,5.58,RU,Iskateley
53,stephenville,32.2207,-98.2023,14.520000000000039,60,100,3.6,US,Stephenville
54,mugia,43.1041,-9.2179,11.060000000000002,78,100,2.86,ES,Mugia
55,orkney,-26.9802,26.6727,21.710000000000036,58,39,1.43,ZA,Orkney
56,bethel,41.3712,-73.414,0.3100000000000023,54,16,3.13,US,Bethel
57,minas de marcona,-15.2119,-75.1103,17.900000000000034,85,72,3.25,PE,Minas de Marcona
58,lamu,-2.2717,40.902,23.75,91,83,5.37,KE,Lamu
59,banda aceh,5.5577,95.3222,23.920000000000016,83,100,5.02,ID,Banda Aceh
60,sao sepe,-30.1606,-53.5653,31.74000000000001,36,34,5.31,BR,São Sepé
61,ust'-ilimsk,58.0006,102.6619,-22.819999999999965,83,86,4.36,RU,Ust'-Ilimsk
62,iqaluit,63.7506,-68.5145,-29.149999999999977,63,20,1.03,CA,Iqaluit
63,lompoc,34.6391,-120.4579,13.620000000000005,93,100,7.72,US,Lompoc
64,awjilah,29.1081,21.2869,12.680000000000007,63,59,5.25,LY,Awjilah
65,gorontalo,0.5412,123.0595,24.77000000000004,95,100,1.25,ID,Gorontalo
66,lihue,21.9789,-159.3672,23.77000000000004,50,0,8.23,US,Lihue
67,hami,42.8,93.45,-7.039999999999964,46,0,1.6,CN,Kumul
68,port elizabeth,-33.918,25.5701,22.400000000000034,93,99,3.13,ZA,Port Elizabeth
69,margaret river,-33.95,115.0667,20.02000000000004,59,1,2.4,AU,Margaret River
70,lukow,51.929,22.3796,0.040000000000020464,80,88,2.4,PL,Łuków
71,uturoa,-16.7333,-151.4333,28.140000000000043,69,40,4.12,PF,Uturoa
72,dazhou,31.2159,107.5009,7.28000000000003,75,100,2.53,CN,Dazhou
73,guichon,-32.35,-57.2,29.950000000000045,46,7,8.02,UY,Guichon
74,mhamid,29.82,-5.72,12.180000000000007,29,0,4.18,MA,Mhamid
75,nizhniy ingash,56.2,96.53,-16.579999999999984,92,100,4.56,RU,Nizhniy Ingash
76,ibirama,-27.0569,-49.5178,24.620000000000005,99,83,0.73,BR,Ibirama
77,talnakh,69.4865,88.3972,-22.919999999999987,97,99,2.99,RU,Talnakh
78,ulsteinvik,62.3432,5.8487,6.28000000000003,90,100,0.89,NO,Ulsteinvik
79,puerto ayacucho,5.6639,-67.6236,30.55000000000001,46,87,3.71,VE,Puerto Ayacucho
80,mount pearl,47.5166,-52.7813,-2.1399999999999864,84,20,13.38,CA,Mount Pearl
81,haiku-pauwela,20.9219,-156.3051,24.590000000000032,69,20,6.69,US,Haiku-Pauwela
82,puerto aysen,-45.4,-72.7,11.080000000000041,86,12,1.63,CL,Puerto Aisén
83,qaqortoq,60.7167,-46.0333,-19.129999999999967,65,86,5.25,GL,Qaqortoq
84,cole harbour,44.6724,-63.4751,-3.92999999999995,75,71,4.93,CA,Cole Harbour
85,port lincoln,-34.7333,135.8667,19.189999999999998,63,20,7.76,AU,Port Lincoln
86,berezovo,63.9381,65.0419,-22.46999999999997,100,96,0.78,RU,Beryozovo
87,hermanus,-34.4187,19.2345,19.75,74,56,2.87,ZA,Hermanus
88,tatarsk,55.219,75.9828,-6.2099999999999795,97,98,1.99,RU,Tatarsk
89,metu,8.3,35.5833,18.010000000000048,60,46,1.02,ET,Metu
90,klyuchi,52.2667,79.1667,-9.92999999999995,98,87,2.95,RU,Klyuchi
91,muravlenko,63.7898,74.523,-19.339999999999975,100,100,3.35,RU,Muravlenko
92,kununurra,-15.7667,128.7333,29.99000000000001,66,95,2.57,AU,Kununurra
93,luderitz,-26.6481,15.1594,16.660000000000025,84,63,11.01,NA,Lüderitz
94,timbiqui,2.7717,-77.6654,26.200000000000045,85,30,5.59,CO,Timbiquí
95,sukumo,32.9333,132.7333,2.910000000000025,57,74,6.69,JP,Sukumo
